Phase,Primary,Secondary,,
-1,-18.67931,13.631124,,
-0.979798,-59.099623,50.626312,,
-0.959596,-83.690369,86.662902,,
-0.939394,-95.8433,121.24264,,
-0.919192,-105.972708,153.872482,,
-0.89899,-116.823388,184.184608,,
-0.878788,-129.937629,211.849466,,
-0.858586,-140.090781,236.390088,,
-0.838384,-147.316455,257.33041,,
-0.818182,-152.176203,274.236856,,
-0.79798,-154.953675,286.746244,,
-0.777778,-155.798309,294.579635,,
-0.757576,-154.912027,297.5458,,
-0.737374,-152.295195,295.546571,,
-0.717172,-147.984932,288.601442,,
-0.69697,-141.947852,276.814691,,
-0.676768,-134.032801,260.381392,,
-0.656566,-123.993297,239.592123,,
-0.636364,-111.69394,214.820462,,
-0.616162,-97.359546,188.411377,,
-0.59596,-81.248278,174.874658,,
-0.575758,-63.715799,167.323589,,
-0.555556,-45.065071,159.785985,,
-0.535354,-25.61291,50.154288,,
-0.515152,-5.724581,11.231084,,
-0.494949,14.256223,-27.872833,,
-0.474747,33.978804,-151.598254,,
-0.454545,53.109093,-158.315888,,
-0.434343,71.329729,-163.246536,,
-0.414141,88.291158,-171.955923,,
-0.393939,103.666945,-189.795447,,
-0.373737,117.164243,-216.019468,,
-0.353535,128.505791,-239.035333,,
-0.333333,137.592226,-258.483105,,
-0.313131,144.696753,-274.051734,,
-0.292929,150.049514,-285.469055,,
-0.272727,153.608301,-292.510127,,
-0.252525,155.505123,-294.995927,,
-0.232323,155.644603,-292.80018,,
-0.212121,153.957813,-285.819088,,
-0.191919,150.357917,-274.066535,,
-0.171717,144.588951,-257.622424,,
-0.151515,136.165521,-236.676125,,
-0.131313,124.648458,-211.530221,,
-0.111111,111.95724,-182.601927,,
-0.090909,101.673877,-150.423083,,
-0.070707,90.978182,-115.850263,,
-0.050505,76.479903,-79.659373,,
-0.030303,41.95105,-42.532967,,
-0.010101,1.513197,-5.067571,,
0.010101,-39.050559,32.204569,,
0.030303,-75.060821,68.781326,,
0.050505,-90.292948,104.161403,,
0.070707,-100.988179,137.836464,,
0.090909,-111.157132,169.33237,,
0.111111,-123.666412,198.380424,,
0.131313,-135.405035,224.543441,,
0.151515,-144.05345,247.341577,,
0.171717,-149.994754,266.316139,,
0.191919,-153.749816,281.069696,,
0.212121,-155.599947,291.272496,,
0.232323,-155.574607,296.683241,,
0.252525,-153.806472,297.17558,,
0.272727,-150.373441,292.703416,,
0.292929,-145.141138,283.319622,,
0.313131,-138.182221,269.175996,,
0.333333,-129.259235,250.520417,,
0.353535,-118.080452,227.686175,,
0.373737,-104.735061,201.087791,,
0.393939,-89.482092,180.551154,,
0.414141,-72.631062,170.593699,,
0.434343,-54.487149,164.045703,,
0.454545,-35.402418,154.339429,,
0.474747,-15.717755,30.754605,,
0.494949,4.244307,-8.337661,,
0.515152,24.145562,-47.29577,,
0.535354,43.643406,-155.937085,,
0.555556,62.371454,-160.697762,,
0.575758,79.998545,-166.835021,,
0.59596,96.222136,-178.382064,,
0.616162,110.701342,-203.275855,,
0.636364,123.170656,-227.939346,,
0.656566,133.375236,-249.2099,,
0.676768,141.422601,-266.752121,,
0.69697,147.589742,-280.275031,,
0.717172,152.033118,-289.535151,,
0.737374,154.774769,-294.328471,,
0.757576,155.792053,-294.481864,,
0.777778,155.086284,-289.898209,,
0.79798,152.433474,-280.53635,,
0.818182,147.739718,-266.426369,,
0.838384,140.714087,-247.698947,,
0.858586,130.789937,-224.602945,,
0.878788,117.785156,-197.502407,,
0.89899,106.718048,-166.870114,,
0.919192,96.750547,-133.39137,,
0.939394,84.74699,-97.924826,,
0.959596,62.055606,-61.18477,,
0.979798,21.714961,-23.808739,,
1,-18.67931,13.631124,,
,,,,