Phase,Primary,Secondary
-1,0.060889,-2.886891
-0.979798,-32.248319,29.025115
-0.959596,-56.369097,60.060196
-0.939394,-72.802321,89.86328
-0.919192,-84.058364,118.22826
-0.89899,-93.697225,145.00038
-0.878788,-102.408992,169.770833
-0.858586,-111.028193,191.913561
-0.838384,-118.442882,210.764394
-0.818182,-123.849831,226.169614
-0.79798,-127.41157,237.999248
-0.777778,-129.351946,246.299666
-0.757576,-129.733646,250.989512
-0.737374,-128.588509,251.92088
-0.717172,-125.94454,249.022471
-0.69697,-121.818295,242.339234
-0.676768,-116.110885,231.845358
-0.656566,-108.691405,217.402558
-0.636364,-99.341946,199.801455
-0.616162,-88.107037,183.012308
-0.59596,-75.230347,166.062383
-0.575758,-60.960813,148.37608
-0.555556,-45.592172,125.519848
-0.535354,-29.40465,94.12371
-0.515152,-12.694016,48.638475
-0.494949,4.237841,-10.563165
-0.474747,21.097495,-64.2575
-0.454545,37.581529,-103.177417
-0.434343,53.3964,-128.407024
-0.414141,68.249229,-147.362674
-0.393939,81.854769,-163.385389
-0.373737,93.948497,-178.515141
-0.353535,104.273152,-196.152057
-0.333333,112.629034,-212.950132
-0.313131,119.184769,-226.486095
-0.292929,124.066045,-236.695952
-0.272727,127.450431,-243.669707
-0.252525,129.345239,-247.287294
-0.232323,129.737082,-247.485232
-0.212121,128.583665,-244.222596
-0.191919,125.851502,-237.489078
-0.171717,121.388804,-226.954271
-0.151515,115.002998,-212.429028
-0.131313,106.894618,-193.522714
-0.111111,97.533745,-170.53404
-0.090909,88.7423,-144.11756
-0.070707,79.127254,-114.925306
-0.050505,65.283832,-83.765585
-0.030303,45.35964,-51.553748
-0.010101,16.759311,-19.065383
0.010101,-16.747782,13.161257
0.030303,-45.304735,44.676334
0.050505,-65.319824,75.11934
0.070707,-79.023818,104.223911
0.090909,-88.71365,131.83057
0.111111,-97.598218,157.668629
0.131313,-106.841189,181.208613
0.151515,-115.002998,201.779411
0.171717,-121.388804,218.890892
0.191919,-125.851502,232.537172
0.212121,-128.583665,242.594482
0.232323,-129.737082,249.106031
0.252525,-129.345239,251.919585
0.272727,-127.450431,250.948076
0.292929,-124.066045,246.156127
0.313131,-119.184769,237.587174
0.333333,-112.629034,225.111107
0.353535,-104.273152,208.75387
0.373737,-93.948497,190.877174
0.393939,-81.854769,174.740966
0.414141,-68.249229,157.751025
0.434343,-53.3964,137.751061
0.454545,-37.581529,111.84646
0.474747,-21.097495,73.484463
0.494949,-4.237841,19.917176
0.515152,12.694016,-39.580068
0.535354,29.40465,-85.291175
0.555556,45.592172,-116.885267
0.575758,60.960813,-138.384218
0.59596,75.230347,-155.056266
0.616162,88.107037,-170.957996
0.636364,99.341946,-187.254505
0.656566,108.691405,-204.939201
0.676768,116.110885,-220.139369
0.69697,121.818295,-231.987119
0.717172,125.94454,-240.588795
0.737374,128.588509,-245.915159
0.757576,129.733646,-247.82614
0.777778,129.351946,-246.281729
0.79798,127.41157,-241.292145
0.818182,123.849831,-232.727029
0.838384,118.442882,-220.208565
0.858586,111.026919,-203.527668
0.878788,102.41323,-182.502173
0.89899,93.740116,-157.713166
0.919192,84.039146,-129.828647
0.939394,72.850813,-99.550141
0.959596,56.424205,-67.747198
0.979798,32.151263,-35.304916
1,0.060889,-2.886891